"filename", "language", "PHP", "XML", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "C++", "C", "CSV", "SCSS", "Perl", "YAML", "Properties", "Less", "Shell Script", "Log", "comment", "blank", "total"
"d:\Downloads\public_html\wp-admin\css\deprecated-media.css", "CSS", 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 80, 430
"d:\Downloads\public_html\wp-admin\css\deprecated-media.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\edit-rtl.css", "CSS", 0, 0, 0, 0, 1443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 331, 1836
"d:\Downloads\public_html\wp-admin\css\edit-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\edit.css", "CSS", 0, 0, 0, 0, 1443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 331, 1835
"d:\Downloads\public_html\wp-admin\css\edit.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\farbtastic-rtl.css", "CSS", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 43
"d:\Downloads\public_html\wp-admin\css\farbtastic-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\farbtastic.css", "CSS", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"d:\Downloads\public_html\wp-admin\css\farbtastic.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\forms-rtl.css", "CSS", 0, 0, 0, 0, 1392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 295, 1749
"d:\Downloads\public_html\wp-admin\css\forms-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\forms.css", "CSS", 0, 0, 0, 0, 1392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 295, 1748
"d:\Downloads\public_html\wp-admin\css\forms.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\install-rtl.css", "CSS", 0, 0, 0, 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58, 383
"d:\Downloads\public_html\wp-admin\css\install-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\install.css", "CSS", 0, 0, 0, 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58, 382
"d:\Downloads\public_html\wp-admin\css\install.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\l10n-rtl.css", "CSS", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 122
"d:\Downloads\public_html\wp-admin\css\l10n-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\l10n.css", "CSS", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 121
"d:\Downloads\public_html\wp-admin\css\l10n.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\list-tables-rtl.css", "CSS", 0, 0, 0, 0, 1741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 382, 2177
"d:\Downloads\public_html\wp-admin\css\list-tables-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\list-tables.css", "CSS", 0, 0, 0, 0, 1741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 382, 2176
"d:\Downloads\public_html\wp-admin\css\list-tables.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\login-rtl.css", "CSS", 0, 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66, 419
"d:\Downloads\public_html\wp-admin\css\login-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\login.css", "CSS", 0, 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 66, 418
"d:\Downloads\public_html\wp-admin\css\login.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\media-rtl.css", "CSS", 0, 0, 0, 0, 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 225, 1319
"d:\Downloads\public_html\wp-admin\css\media-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Downloads\public_html\wp-admin\css\media.css", "CSS", 0, 0, 0, 0, 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 225, 1318
